,title_iphone,concat_ori_prices,discount_prices,combined_sold_count,nama_toko
0,"Apple iPhone 11 64GB, White",0,6.999.000,271 Terjual,apple_flagship_store
1,"Apple iPhone 11 64GB, Black",0,6.999.000,712 Terjual,apple_flagship_store
2,"Apple iPhone 13 128GB, Pink",0,11.999.000,291 Terjual,apple_flagship_store
3,"Apple iPhone 12 128GB, Purple",0,11.299.000,14 Terjual,apple_flagship_store
4,"Apple iPhone 11 128GB, White",0,8.999.000,210 Terjual,apple_flagship_store
5,"Apple iPhone 13 128GB, Green",0,11.999.000,59 Terjual,apple_flagship_store
6,"Apple iPhone 14 128GB, Blue",0,13.999.000,52 Terjual,apple_flagship_store
7,"Apple iPhone 14 Plus 128GB, Blue",0,15.999.000,6 Terjual,apple_flagship_store
8,"Apple iPhone 14 128GB, Starlight",0,13.999.000,26 Terjual,apple_flagship_store
9,"Apple iPhone 12 128GB, Black",0,11.299.000,67 Terjual,apple_flagship_store
10,"Apple iPhone 14 128GB, Purple",0,13.999.000,51 Terjual,apple_flagship_store
11,"Apple iPhone 13 256GB, Pink",0,14.499.000,92 Terjual,apple_flagship_store
12,"Apple iPhone 14 Plus 128GB, Purple",0,15.999.000,10 Terjual,apple_flagship_store
13,"Apple iPhone 14 Plus 128GB, Starlight",0,15.999.000,5 Terjual,apple_flagship_store
14,"Apple iPhone 14 Pro Max 128GB, Deep Purple",0,19.999.000,139 Terjual,apple_flagship_store
15,"Apple iPhone 11 128GB, Black",0,8.999.000,453 Terjual,apple_flagship_store
16,"Apple iPhone 14 Pro Max 128GB, Gold",0,19.999.000,40 Terjual,apple_flagship_store
17,"Apple iPhone 13 256GB, Starlight",0,14.499.000,56 Terjual,apple_flagship_store
18,"Apple iPhone 14 Pro Max 256GB, Gold",0,22.299.000,67 Terjual,apple_flagship_store
19,"Apple iPhone 14 Plus 128GB, Yellow",0,15.999.000,79 Terjual,apple_flagship_store
20,"Apple iPhone 14 Pro 128GB, Space Black",0,17.999.000,38 Terjual,apple_flagship_store
21,"Apple iPhone 14 Pro 512GB, Deep Purple",0,24.299.000,49 Terjual,apple_flagship_store
22,"Apple iPhone 14 Pro Max 128GB, Space Black",0,19.999.000,31 Terjual,apple_flagship_store
23,"Apple iPhone 12 128GB, Blue",0,11.299.000,38 Terjual,apple_flagship_store
24,"Apple iPhone 14 256GB, (PRODUCT) RED",0,16.799.000,5 Terjual,apple_flagship_store
25,"Apple iPhone 14 Pro 256GB, Gold",0,20.299.000,3 Terjual,apple_flagship_store
26,"Apple iPhone 14 128GB, (PRODUCT) RED",0,13.999.000,3 Terjual,apple_flagship_store
27,"Apple iPhone 14 Plus 128GB, (PRODUCT) RED",0,15.999.000,227 Terjual,apple_flagship_store
28,"Apple iPhone 14 256GB, Midnight",0,16.799.000,91 Terjual,apple_flagship_store
29,"Apple iPhone 14 256GB, Purple",0,16.799.000,18 Terjual,apple_flagship_store
30,"Apple iPhone 14 Pro Max 256GB, Deep Purple",0,22.299.000,4 Terjual,apple_flagship_store
31,"Apple iPhone 14 512GB, Purple",0,20.799.000,1 Terjual,apple_flagship_store
32,"Apple iPhone 14 Plus 256GB, Starlight",0,18.799.000,35 Terjual,apple_flagship_store
33,"Apple iPhone 14 Pro 256GB, Space Black",0,20.299.000,3 Terjual,apple_flagship_store
34,"Apple iPhone 14 Pro 512GB, Space Black",0,24.299.000,85 Terjual,apple_flagship_store
35,"Apple iPhone 14 Plus 256GB, Midnight",0,18.799.000,11 Terjual,apple_flagship_store
36,"Apple iPhone 14 Plus 128GB, Midnight",0,15.999.000,16 Terjual,apple_flagship_store
37,"Apple iPhone 14 Plus 256GB, Purple",0,18.799.000,11 Terjual,apple_flagship_store
38,"Apple iPhone 14 Pro Max 512GB, Deep Purple",0,26.299.000,3 Terjual,apple_flagship_store
39,"Apple iPhone 14 Plus 256GB, Blue",0,18.799.000,7 Terjual,apple_flagship_store
40,"Apple iPhone 14 Pro Max 256GB, Space Black",0,22.299.000,17 Terjual,apple_flagship_store
41,"Apple iPhone 14 Pro Max 512GB, Space Black",0,26.299.000,1 Terjual,apple_flagship_store
42,"Apple iPhone 14 Pro Max 1TB, Deep Purple",0,30.299.000,6 Terjual,apple_flagship_store
43,"Apple iPhone 14 Pro Max 1TB, Silver",0,30.299.000,4 Terjual,apple_flagship_store
44,"Apple iPhone 14 Pro Max 512GB, Gold",0,26.299.000,24 Terjual,apple_flagship_store
45,"Apple iPhone 14 Pro 512GB, Silver",0,24.299.000,18 Terjual,apple_flagship_store
46,"Apple iPhone 14 Pro 512GB, Gold",0,24.299.000,2 Terjual,apple_flagship_store
47,"Apple iPhone 14 Pro Max 256GB, Silver",0,22.299.000,0 terjual,apple_flagship_store
48,"Apple iPhone 13 512GB, (PRODUCT) RED",0,17.999.000,0 terjual,apple_flagship_store
49,"Apple iPhone 14 256GB, Yellow",0,16.799.000,4 Terjual,apple_flagship_store
50,"Apple iPhone 14 Plus 512GB, Purple",0,22.799.000,0 terjual,apple_flagship_store
51,"Apple iPhone 14 Plus 256GB, (PRODUCT) RED",0,18.799.000,0 terjual,apple_flagship_store
52,"Apple iPhone 14 Pro Max 1TB, Space Black",0,30.299.000,0 terjual,apple_flagship_store
53,"Apple iPhone 14 Pro 1TB, Gold",0,28.299.000,1 Terjual,apple_flagship_store
54,"Apple iPhone 14 Plus 256GB, Yellow",0,18.799.000,0 terjual,apple_flagship_store
55,"Apple iPhone 14 512GB, Blue",0,20.799.000,0 terjual,apple_flagship_store
56,"Apple iPhone 14 512GB, Midnight",0,20.799.000,0 terjual,apple_flagship_store
57,"Apple iPhone 14 128GB, Midnight",0,13.999.000,0 terjual,apple_flagship_store
58,Apple iPhone 14 Pro Clear Case with MagSafe,0,899.000,0 terjual,apple_flagship_store
59,"Apple iPhone 13 mini Silicone Case with MagSafe, Pink Pomelo",0,899.000,0 terjual,apple_flagship_store
