,title_iphone,concat_ori_prices,discount_prices,combined_sold_count,nama_toko
0,Iphone 13 Smartphone 128GB Garansi Resmi,Rp15.199.000,11.999.000,62 Terjual,apple_teleshop_global
1,iPhone 11 64GB Garansi Resmi,Rp7.599.000,7.279.000,267 Terjual,apple_teleshop_global
2,iPhone 11 64GB Smartphone Promo Bundling,Rp8.048.000,7.703.000,10 Terjual,apple_teleshop_global
3,iPhone 13 128GB Smartphone Promo Bundling,Rp15.648.000,12.423.000,2 Terjual,apple_teleshop_global
4,iPhone 11 64GB Smartphone Promo Bundling,Rp11.999.000,7.703.000,5 Terjual,apple_teleshop_global
5,iPhone 12 64GB Smartphone Garansi Resmi,Rp12.999.000,10.669.000,1 Terjual,apple_teleshop_global
6,iPhone 12 128GB Smartphone Garansi Resmi,Rp19.999.000,11.599.000,0 terjual,apple_teleshop_global
7,iPhone 14 Pro 128GB Smartphone Garansi Resmi,Rp15.999.000,17.929.000,0 terjual,apple_teleshop_global
8,iPhone 14 128GB Smartphone Garansi Resmi,Rp18.999.000,13.879.000,1 Terjual,apple_teleshop_global
9,iPhone 14 256GB Smartphone Garansi Resmi,Rp17.999.000,16.699.000,0 terjual,apple_teleshop_global
10,iPhone 14 Plus 128GB,Rp21.999.000,15.899.000,0 terjual,apple_teleshop_global
11,Iphone 14 Pro Max 128GB,Rp28.999.000,19.929.000,0 terjual,apple_teleshop_global
12,iPhone 14 Pro Max 512GB Smartphone Garansi Resmi,Rp24.999.000,26.199.000,0 terjual,apple_teleshop_global
13,iPhone 14 Pro Max 256GB Smartphone Garansi Resmi,Rp20.999.000,22.199.000,0 terjual,apple_teleshop_global
14,iPhone 14 Plus 256GB,Rp22.999.000,18.599.000,0 terjual,apple_teleshop_global
15,iPhone 14 512GB Smartphone Garansi Resmi,Rp22.999.000,20.659.000,0 terjual,apple_teleshop_global
16,iPhone 14 Pro 256GB Smartphone Garansi Resmi,Rp26.999.000,20.179.000,0 terjual,apple_teleshop_global
17,iPhone 14 Pro 512GB Garansi Resmi,0,24.199.000,0 terjual,apple_teleshop_global
