,title_iphone,concat_ori_prices,discount_prices,combined_sold_count,nama_toko
0,Apple iPhone 11 64GB Black,Rp12.999.000,6.999.000,"6,6RB Terjual",digimap
1,Apple iPhone 12 64GB Purple,Rp11.299.000,10.499.000,302 Terjual,digimap
2,Apple iPhone 14 128GB Blue,Rp15.999.000,13.799.000,170 Terjual,digimap
3,Apple iPhone 13 128GB Blue,Rp14.999.000,11.799.000,494 Terjual,digimap
4,Apple iPhone 13 128GB Green,Rp14.999.000,11.799.000,666 Terjual,digimap
5,Apple iPhone 13 128GB Midnight,Rp14.999.000,11.799.000,"1,1RB Terjual",digimap
6,Apple iPhone 13 128GB Starlight,Rp14.999.000,11.999.000,826 Terjual,digimap
7,Apple iPhone 14 Pro 128GB Deep Purple,Rp14.199.000,19.999.000,368 Terjual,digimap
8,Apple iPhone 11 128GB White,Rp14.199.000,8.899.000,"3,6RB Terjual",digimap
9,Apple iPhone 12 128GB Purple,Rp13.999.000,11.299.000,540 Terjual,digimap
10,Apple iPhone 14 128GB Purple,Rp15.999.000,13.799.000,211 Terjual,digimap
11,Apple iPhone 14 128GB Starlight,Rp18.999.000,13.799.000,110 Terjual,digimap
12,Apple iPhone 14 Pro 128GB Space Black,Rp17.699.000,17.999.000,164 Terjual,digimap
13,Apple iPhone 13 256GB Starlight,Rp19.999.000,14.499.000,165 Terjual,digimap
14,Apple iPhone 14 Pro 128GB Gold,Rp14.999.000,17.999.000,77 Terjual,digimap
15,Apple iPhone 12 64GB White,Rp14.999.000,10.299.000,156 Terjual,digimap
16,Apple iPhone 12 64GB Black,Rp21.999.000,10.499.000,194 Terjual,digimap
17,Apple iPhone 14 Pro Max 128GB Deep Purple,Rp17.999.000,19.999.000,346 Terjual,digimap
18,Apple iPhone 13 256GB Pink,Rp13.999.000,14.499.000,260 Terjual,digimap
19,Apple iPhone 12 64GB Blue,Rp17.999.000,10.999.000,223 Terjual,digimap
20,Apple iPhone 14 128GB Midnight,Rp21.999.000,13.799.000,130 Terjual,digimap
