,title_iphone,concat_ori_prices,discount_prices,combined_sold_count,nama_toko
0,"Apple iPhone 11 64GB, White",Rp7.999.000,6.999.000,"1,5RB Terjual",erafone
1,"Apple iPhone 11 128GB, Black",Rp9.249.000,8.999.000,"1,2RB Terjual",erafone
2,"Apple iPhone 11 128GB, White",Rp9.249.000,8.999.000,"1,5RB Terjual",erafone
3,"Apple iPhone 12 64GB, (PRODUCT)RED",Rp11.999.000,10.299.000,15 Terjual,erafone
4,"Apple iPhone 14 Pro 128GB, Space Black",Rp17.699.000,19.999.000,66 Terjual,erafone
5,"Apple iPhone 13 256GB, Midnight",Rp12.999.000,14.499.000,57 Terjual,erafone
6,"Apple iPhone 12 128GB, (PRODUCT)RED",Rp15.999.000,11.299.000,45 Terjual,erafone
7,"Apple iPhone 14 128GB, (PRODUCT) RED",Rp15.999.000,13.999.000,156 Terjual,erafone
8,"Apple iPhone 14 128GB, Midnight",Rp21.999.000,13.999.000,38 Terjual,erafone
9,"Apple iPhone 14 Pro Max 128GB, Space Black",Rp21.999.000,19.999.000,74 Terjual,erafone
10,"Apple iPhone 14 Pro Max 128GB, Deep Purple",Rp20.999.000,19.999.000,140 Terjual,erafone
11,"Apple iPhone 14 Plus 256GB, Midnight",Rp20.999.000,18.799.000,38 Terjual,erafone
12,"Apple iPhone 14 Pro Max 256GB, Deep Purple",Rp22.999.000,24.999.000,6 Terjual,erafone
13,"Apple iPhone 14 Plus 256GB, Purple",Rp28.999.000,18.799.000,34 Terjual,erafone
14,"Apple iPhone 14 Pro 256GB, Space Black",Rp24.999.000,20.299.000,15 Terjual,erafone
15,"Apple iPhone 14 Pro Max 512GB, Gold",Rp32.999.000,26.299.000,11 Terjual,erafone
16,"Apple iPhone 14 Pro Max 256GB, Gold",Rp26.999.000,22.299.000,8 Terjual,erafone
17,"Apple iPhone 14 Pro Max 1TB, Space Black",Rp28.999.000,30.299.000,32 Terjual,erafone
18,"Apple iPhone 14 Pro 512GB, Deep Purple",Rp26.999.000,24.299.000,15 Terjual,erafone
