,title_iphone,concat_ori_prices,discount_prices,combined_sold_count,nama_toko
0,"Apple iPhone 11 64GB, Black",Rp7.999.000,6.999.000,"4,7RB Terjual",ibox_official
1,"Apple iPhone 13 128GB, Pink",Rp15.199.000,11.999.000,"1,2RB Terjual",ibox_official
2,"Apple iPhone 11 128GB, Black",Rp9.249.000,8.999.000,"5,4RB Terjual",ibox_official
3,"Apple iPhone 11 128GB, White",Rp9.249.000,8.999.000,"3,7RB Terjual",ibox_official
4,"Apple iPhone 13 128GB, Blue",Rp19.999.000,15.199.000,978 Terjual,ibox_official
5,"Apple iPhone 14 Pro 128GB, Space Black",Rp15.999.000,17.999.000,491 Terjual,ibox_official
6,"Apple iPhone 13 128GB, Midnight",Rp15.999.000,15.199.000,"1,9RB Terjual",ibox_official
7,"Apple iPhone 14 128GB, Purple",Rp15.999.000,13.999.000,400 Terjual,ibox_official
8,"Apple iPhone 14 128GB, Blue",Rp12.999.000,13.999.000,530 Terjual,ibox_official
9,"Apple iPhone 14 128GB, Starlight",Rp17.699.000,13.999.000,301 Terjual,ibox_official
10,"Apple iPhone 12 128GB, Blue",Rp17.999.000,11.299.000,914 Terjual,ibox_official
11,"Apple iPhone 13 256GB, Pink",Rp24.999.000,14.499.000,443 Terjual,ibox_official
12,"Apple iPhone 14 Plus 128GB, Starlight",Rp21.999.000,15.999.000,83 Terjual,ibox_official
13,"Apple iPhone 14 Pro Max 256GB, Space Black",Rp15.999.000,22.299.000,279 Terjual,ibox_official
14,"Apple iPhone 14 Pro Max 128GB, Space Black",Rp21.999.000,19.999.000,216 Terjual,ibox_official
15,"Apple iPhone 13 256GB, Midnight",Rp17.999.000,17.699.000,333 Terjual,ibox_official
16,"Apple iPhone 14 128GB, Midnight",Rp22.999.000,13.999.000,454 Terjual,ibox_official
17,"Apple iPhone 14 Pro Max 128GB, Deep Purple",Rp24.999.000,19.999.000,994 Terjual,ibox_official
18,"Apple iPhone 14 Plus 128GB, Blue",Rp17.999.000,15.999.000,231 Terjual,ibox_official
19,"Apple iPhone 14 Pro 256GB, Space Black",Rp24.999.000,20.299.000,276 Terjual,ibox_official
20,"Apple iPhone 14 Pro Max 256GB, Deep Purple",Rp17.999.000,22.299.000,830 Terjual,ibox_official
21,"Apple iPhone 14 Plus 128GB, Midnight",Rp22.999.000,15.999.000,151 Terjual,ibox_official
22,"Apple iPhone 14 Pro Max 256GB, Silver",Rp22.999.000,22.299.000,76 Terjual,ibox_official
23,"Apple iPhone 12 128GB, Black",Rp32.999.000,12.999.000,"1,3RB Terjual",ibox_official
24,"Apple iPhone 13 256GB, Green",Rp26.999.000,17.699.000,139 Terjual,ibox_official
25,"Apple iPhone 14 Plus 128GB, Purple",Rp18.999.000,15.999.000,210 Terjual,ibox_official
26,"Apple iPhone 14 Pro 256GB, Silver",Rp17.999.000,20.299.000,91 Terjual,ibox_official
27,"Apple iPhone 13 256GB, Blue",Rp28.999.000,17.699.000,264 Terjual,ibox_official
28,"Apple iPhone 14 Pro 256GB, Gold",Rp26.999.000,20.299.000,123 Terjual,ibox_official
29,"Apple iPhone 14 Pro Max 1TB, Deep Purple",Rp28.999.000,30.299.000,63 Terjual,ibox_official
30,"Apple iPhone 14 Pro 512GB, Deep Purple",Rp20.999.000,24.299.000,93 Terjual,ibox_official
31,"Apple iPhone 14 256GB, Purple",Rp17.999.000,16.799.000,97 Terjual,ibox_official
32,"Apple iPhone 14 Plus 128GB, Yellow",Rp24.999.000,15.999.000,14 Terjual,ibox_official
33,"Apple iPhone 14 Pro Max 512GB, Space Black",Rp17.699.000,26.299.000,38 Terjual,ibox_official
34,"Apple iPhone 14 Pro 512GB, Gold",Rp20.999.000,24.299.000,11 Terjual,ibox_official
35,"Apple iPhone 14 Pro Max 512GB, Deep Purple",Rp32.999.000,26.299.000,129 Terjual,ibox_official
36,"Apple iPhone 14 Plus 256GB, Purple",Rp26.999.000,18.799.000,41 Terjual,ibox_official
37,"Apple iPhone 14 Plus 128GB, (PRODUCT) RED",Rp32.999.000,15.999.000,25 Terjual,ibox_official
38,"Apple iPhone 14 Pro Max 256GB, Gold",Rp18.999.000,22.299.000,155 Terjual,ibox_official
39,"Apple iPhone 13 256GB, Starlight",Rp30.999.000,14.499.000,214 Terjual,ibox_official
40,"Apple iPhone 14 Plus 256GB, Blue",Rp28.999.000,18.799.000,16 Terjual,ibox_official
41,"Apple iPhone 14 Pro Max 1TB, Space Black",Rp24.999.000,30.299.000,21 Terjual,ibox_official
42,"Apple iPhone 14 Pro 512GB, Space Black",Rp20.999.000,24.299.000,44 Terjual,ibox_official
43,"Apple iPhone 14 Pro Max 1TB, Silver",Rp20.999.000,30.299.000,5 Terjual,ibox_official
44,"Apple iPhone 14 256GB, Midnight",Rp22.999.000,16.799.000,92 Terjual,ibox_official
45,"Apple iPhone 14 Pro 1TB, Space Black",Rp24.999.000,28.299.000,10 Terjual,ibox_official
46,"Apple iPhone 14 Pro Max 512GB, Gold",Rp24.999.000,26.299.000,19 Terjual,ibox_official
47,"Apple iPhone 14 Plus 512GB, Purple",Rp21.199.000,22.799.000,2 Terjual,ibox_official
48,"Apple iPhone 14 Plus 256GB, (PRODUCT) RED",Rp20.999.000,18.799.000,11 Terjual,ibox_official
49,"Apple iPhone 14 Plus 256GB, Starlight",Rp30.999.000,18.799.000,1 Terjual,ibox_official
50,"Apple iPhone 14 512GB, Purple",Rp30.999.000,20.799.000,13 Terjual,ibox_official
51,"Apple iPhone 14 Plus 512GB, Blue",Rp18.999.000,22.799.000,13 Terjual,ibox_official
52,"Apple iPhone 14 Plus 512GB, Starlight",Rp20.999.000,22.799.000,5 Terjual,ibox_official
53,"Apple iPhone 13 512GB, (PRODUCT) RED",Rp26.999.000,17.999.000,4 Terjual,ibox_official
54,"Apple iPhone 14 Plus 256GB, Midnight",0,18.799.000,4 Terjual,ibox_official
55,"Apple iPhone 14 Pro 1TB, Gold",0,28.299.000,12 Terjual,ibox_official
56,"Apple iPhone 14 Pro 1TB, Silver",0,28.299.000,4 Terjual,ibox_official
57,"Apple iPhone 14 256GB, (PRODUCT) RED",0,16.799.000,3 Terjual,ibox_official
58,"Apple iPhone 14 Plus 256GB, Yellow",0,18.799.000,1 Terjual,ibox_official
59,"Apple iPhone 14 Pro 512GB, Silver",0,24.299.000,,ibox_official
60,"Apple iPhone 14 512GB, Midnight",Rp22.999.000,20.799.000,4 Terjual,ibox_official
61,"Apple iPhone 14 512GB, Blue",Rp22.999.000,20.799.000,360 Terjual,ibox_official
62,"Apple iPhone 14 512GB, (PRODUCT) RED",Rp22.999.000,20.799.000,401 Terjual,ibox_official
63,"Apple iPhone 12 128GB, Purple",Rp999.000,12.999.000,30 Terjual,ibox_official
64,Apple iPhone 14 Pro Max Clear Case with MagSafe,Rp999.000,899.000,150 Terjual,ibox_official
65,Apple iPhone 14 Clear Case with MagSafe,Rp999.000,899.000,31 Terjual,ibox_official
66,Apple iPhone 14 Pro Clear Case with MagSafe,Rp1.299.000,899.000,30 Terjual,ibox_official
67,"Apple iPhone Leather Wallet with MagSafe, Dark Cherry",Rp999.000,1.199.000,8 Terjual,ibox_official
68,"Apple iPhone 14 Pro Max Silicone Case with MagSafe, Chalk Pink",Rp1.299.000,899.000,52 Terjual,ibox_official
69,"Apple iPhone Leather Wallet with MagSafe, Umber",Rp1.399.000,1.199.000,46 Terjual,ibox_official
70,"Apple iPhone 13 Pro Max Leather Case with MagSafe, Wisteria",Rp999.000,1.149.000,25 Terjual,ibox_official
71,"Apple iPhone 14 Pro Max Silicone Case with MagSafe, Midnight",Rp1.299.000,899.000,49 Terjual,ibox_official
72,"Apple iPhone Leather Wallet with MagSafe, Ink",Rp999.000,1.199.000,12 Terjual,ibox_official
73,UAG Apple iPhone 11 Pro Max (6.5INCH) Plyo - Ice,Rp1.399.000,599.000,61 Terjual,ibox_official
74,Apple iPhone 14 Plus Clear Case with MagSafe,Rp1.349.000,899.000,31 Terjual,ibox_official
75,UAG Apple iPhone 11 Pro Plasma- Ash,Rp1.299.000,599.000,41 Terjual,ibox_official
76,"Apple iPhone 13 Pro Leather Case with MagSafe, Dark Cherry",Rp1.299.000,1.149.000,8 Terjual,ibox_official
77,"Apple iPhone 14 Pro Max Leather Case with MagSafe, Midnight",Rp1.399.000,1.199.000,18 Terjual,ibox_official
78,Kajsa Vintage Collection Genuine Leather iPhone X Back Case - Black,Rp1.399.000,169.000,24 Terjual,ibox_official
79,Kajsa Lance Collection iPhone X Back Case - Grey,Rp1.099.000,169.000,27 Terjual,ibox_official
80,"Apple iPhone Leather Wallet with MagSafe, Wisteria",Rp1.349.000,1.199.000,15 Terjual,ibox_official
81,"Apple iPhone Leather Wallet with MagSafe, Golden Brown",Rp999.000,1.199.000,36 Terjual,ibox_official
82,"Apple iPhone 13 Pro Leather Case with MagSafe, Wisteria",Rp999.000,1.149.000,41 Terjual,ibox_official
83,"Apple iPhone 13 Pro Max Leather Case with MagSafe, Golden Brown",Rp999.000,1.149.000,11 Terjual,ibox_official
84,Apple iPhone 13 mini Clear Case with MagSafe,Rp999.000,949.000,7 Terjual,ibox_official
85,"Apple iPhone 14 Pro Max Leather Case with MagSafe, Forest Green",Rp1.299.000,1.199.000,6 Terjual,ibox_official
86,"Apple iPhone 14 Silicone Case with MagSafe, Midnight",Rp1.399.000,899.000,5 Terjual,ibox_official
87,"Apple iPhone 14 Pro Max Silicone Case with MagSafe, Sunglow",Rp1.099.000,899.000,5 Terjual,ibox_official
88,"Apple iPhone 14 Pro Max Silicone Case with MagSafe, (PRODUCT)RED",Rp1.099.000,899.000,9 Terjual,ibox_official
89,Kajsa Outdoor Collection Wood Pattern iPhone X Back Case - Grey,Rp999.000,169.000,4 Terjual,ibox_official
90,"Apple iPhone 14 Plus Silicone Case with MagSafe, Lilac",Rp1.399.000,899.000,8 Terjual,ibox_official
91,"Apple iPhone Leather Wallet with MagSafe, Forest Green",Rp1.299.000,1.199.000,18 Terjual,ibox_official
92,"Apple iPhone 13 mini Leather Case with MagSafe, Wisteria",Rp1.399.000,1.149.000,7 Terjual,ibox_official
93,"Apple iPhone 13 Pro Max Silicone Case with MagSafe, Marigold",Rp1.349.000,899.000,6 Terjual,ibox_official
94,UAG Apple iPhone 11 Pro Max Pathfinder- White,Rp1.399.000,599.000,13 Terjual,ibox_official
95,"Apple iPhone 13 mini Silicone Case with MagSafe, Clover",Rp1.099.000,899.000,20 Terjual,ibox_official
