,title_iphone,original_prices,discount_prices,combined_sold_count,nama_toko
0,Iphone 11 64GB Garansi Resmi,Rp7.599.000,7.279.000,696 Terjual,okeshop_jkt
1,iPhone 11 64GB Promo Bundling,Rp8.048.000,7.703.000,11 Terjual,okeshop_jkt
2,iPhone 11 64GB Promo Bundling,Rp8.048.000,7.703.000,121 Terjual,okeshop_jkt
3,Iphone 13 Smartphone 128GB Garansi Resmi,Rp15.199.000,11.999.000,16 Terjual,okeshop_jkt
4,iPhone 14 128GB Garansi Resmi,Rp15.999.000,13.879.000,1 Terjual,okeshop_jkt
5,iPhone 14 Plus 128GB Garansi Resmi,Rp17.999.000,15.899.000,2 Terjual,okeshop_jkt
6,iPhone 14 256GB Garansi Resmi,Rp18.999.000,16.699.000,6 Terjual,okeshop_jkt
7,iphone 12 64GB Garansi Resmi,Rp11.999.000,10.669.000,15 Terjual,okeshop_jkt
8,iPhone 14 Pro 128GB Garansi Resmi,Rp19.999.000,17.929.000,1 Terjual,okeshop_jkt
9,iPhone 12 128GB Garansi Resmi,Rp12.999.000,11.599.000,0 terjual,okeshop_jkt
10,Iphone 14 Pro Max 128GB Garansi Resmi,Rp21.999.000,19.929.000,0 terjual,okeshop_jkt
11,iPhone 14 Plus 256GB Garansi Resmi,Rp20.999.000,18.599.000,0 terjual,okeshop_jkt
12,iPhone 14 512GB Garansi Resmi,Rp22.999.000,20.659.000,0 terjual,okeshop_jkt
13,iPhone 14 Pro 256GB Garansi Resmi,Rp22.999.000,20.179.000,0 terjual,okeshop_jkt
14,iPhone 14 Pro 512GB Garansi Resmi,Rp26.999.000,24.199.000,0 terjual,okeshop_jkt
15,Iphone 14 Pro Max 256GB Garansi Resmi,Rp24.999.000,22.199.000,0 terjual,okeshop_jkt
16,iPhone 14 Pro Max 512GB Garansi Resmi,Rp28.999.000,26.199.000,0 terjual,okeshop_jkt
